canonical_composer,canonical_title,split,year,midi_filename,audio_filename,duration,era
Domenico Scarlatti,"Sonata in C Major, K. 179",train,2009,midi/baroque/BAR_011_Domenico_Scarlatti_Sonata_in_C_Major_K_179.midi,audio/baroque/BAR_011_Domenico_Scarlatti_Sonata_in_C_Major_K_179.wav,132.73,Baroque
Domenico Scarlatti,"Sonata in C Major, K. 513",test,2014,midi/baroque/BAR_012_Domenico_Scarlatti_Sonata_in_C_Major_K_513.midi,audio/baroque/BAR_012_Domenico_Scarlatti_Sonata_in_C_Major_K_513.wav,174.21,Baroque
Domenico Scarlatti,"Sonata in C Minor, K. 84",validation,2014,midi/baroque/BAR_013_Domenico_Scarlatti_Sonata_in_C_Minor_K_84.midi,audio/baroque/BAR_013_Domenico_Scarlatti_Sonata_in_C_Minor_K_84.wav,79.74,Baroque
Domenico Scarlatti,"Sonata in D Major, K. 118",train,2014,midi/baroque/BAR_014_Domenico_Scarlatti_Sonata_in_D_Major_K_118.midi,audio/baroque/BAR_014_Domenico_Scarlatti_Sonata_in_D_Major_K_118.wav,136.68,Baroque
Domenico Scarlatti,"Sonata in D Major, K. 119",test,2009,midi/baroque/BAR_015_Domenico_Scarlatti_Sonata_in_D_Major_K_119.midi,audio/baroque/BAR_015_Domenico_Scarlatti_Sonata_in_D_Major_K_119.wav,136.35,Baroque
Domenico Scarlatti,"Sonata in D Major, K. 145",validation,2014,midi/baroque/BAR_016_Domenico_Scarlatti_Sonata_in_D_Major_K_145.midi,audio/baroque/BAR_016_Domenico_Scarlatti_Sonata_in_D_Major_K_145.wav,205.85,Baroque
Domenico Scarlatti,"Sonata in D Major, K. 430",train,2014,midi/baroque/BAR_017_Domenico_Scarlatti_Sonata_in_D_Major_K_430.midi,audio/baroque/BAR_017_Domenico_Scarlatti_Sonata_in_D_Major_K_430.wav,170.51,Baroque
Domenico Scarlatti,"Sonata in D Major, K. 576",train,2009,midi/baroque/BAR_018_Domenico_Scarlatti_Sonata_in_D_Major_K_576.midi,audio/baroque/BAR_018_Domenico_Scarlatti_Sonata_in_D_Major_K_576.wav,788.93,Baroque
Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465",train,2008,midi/baroque/BAR_019_Domenico_Scarlatti_Sonata_in_D_Major_K_96_L_.midi,audio/baroque/BAR_019_Domenico_Scarlatti_Sonata_in_D_Major_K_96_L_.wav,138.77,Baroque
Domenico Scarlatti,"Sonata in D Major, K96",train,2018,midi/baroque/BAR_020_Domenico_Scarlatti_Sonata_in_D_Major_K96.midi,audio/baroque/BAR_020_Domenico_Scarlatti_Sonata_in_D_Major_K96.wav,140.12,Baroque
Domenico Scarlatti,"Sonata in D Minor, K. 1",train,2014,midi/baroque/BAR_021_Domenico_Scarlatti_Sonata_in_D_Minor_K_1.midi,audio/baroque/BAR_021_Domenico_Scarlatti_Sonata_in_D_Minor_K_1.wav,139.01,Baroque
Domenico Scarlatti,"Sonata in D Minor, K. 141",train,2018,midi/baroque/BAR_022_Domenico_Scarlatti_Sonata_in_D_Minor_K_141.midi,audio/baroque/BAR_022_Domenico_Scarlatti_Sonata_in_D_Minor_K_141.wav,194.77,Baroque
Domenico Scarlatti,"Sonata in D Minor, K. 141",train,2014,midi/baroque/BAR_023_Domenico_Scarlatti_Sonata_in_D_Minor_K_141.midi,audio/baroque/BAR_023_Domenico_Scarlatti_Sonata_in_D_Minor_K_141.wav,201.39,Baroque
Domenico Scarlatti,"Sonata in D Minor, K. 213",train,2018,midi/baroque/BAR_024_Domenico_Scarlatti_Sonata_in_D_Minor_K_213.midi,audio/baroque/BAR_024_Domenico_Scarlatti_Sonata_in_D_Minor_K_213.wav,214.7,Baroque
Domenico Scarlatti,"Sonata in D Minor, K. 9",train,2014,midi/baroque/BAR_025_Domenico_Scarlatti_Sonata_in_D_Minor_K_9.midi,audio/baroque/BAR_025_Domenico_Scarlatti_Sonata_in_D_Minor_K_9.wav,217.82,Baroque
Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413",train,2008,midi/baroque/BAR_026_Domenico_Scarlatti_Sonata_in_D_Minor_K_9_L_4.midi,audio/baroque/BAR_026_Domenico_Scarlatti_Sonata_in_D_Minor_K_9_L_4.wav,95.97,Baroque
Domenico Scarlatti,"Sonata in F Minor, K. 466",train,2017,midi/baroque/BAR_027_Domenico_Scarlatti_Sonata_in_F_Minor_K_466.midi,audio/baroque/BAR_027_Domenico_Scarlatti_Sonata_in_F_Minor_K_466.wav,239.78,Baroque
Domenico Scarlatti,"Sonata in G Major, K. 146",train,2009,midi/baroque/BAR_028_Domenico_Scarlatti_Sonata_in_G_Major_K_146.midi,audio/baroque/BAR_028_Domenico_Scarlatti_Sonata_in_G_Major_K_146.wav,143.52,Baroque
Domenico Scarlatti,"Sonata in G Major, K. 455",train,2017,midi/baroque/BAR_029_Domenico_Scarlatti_Sonata_in_G_Major_K_455.midi,audio/baroque/BAR_029_Domenico_Scarlatti_Sonata_in_G_Major_K_455.wav,96.39,Baroque
Domenico Scarlatti,"Sonata, K239",train,2004,midi/baroque/BAR_030_Domenico_Scarlatti_Sonata_K239.midi,audio/baroque/BAR_030_Domenico_Scarlatti_Sonata_K239.wav,196.02,Baroque
Domenico Scarlatti,Two Sonatas,train,2006,midi/baroque/BAR_031_Domenico_Scarlatti_Two_Sonatas.midi,audio/baroque/BAR_031_Domenico_Scarlatti_Two_Sonatas.wav,373.61,Baroque
George Frideric Handel,Chaconne in G,train,2009,midi/baroque/BAR_032_George_Frideric_Handel_Chaconne_in_G.midi,audio/baroque/BAR_032_George_Frideric_Handel_Chaconne_in_G.wav,329.03,Baroque
George Frideric Handel,"Chaconne in G Major, HWV 435",train,2018,midi/baroque/BAR_033_George_Frideric_Handel_Chaconne_in_G_Major_HWV_4.midi,audio/baroque/BAR_033_George_Frideric_Handel_Chaconne_in_G_Major_HWV_4.wav,328.9,Baroque
George Frideric Handel,"Suite No. 2 in F Major, HWV 427 (Complete)",train,2017,midi/baroque/BAR_034_George_Frideric_Handel_Suite_No_2_in_F_Major_HWV.midi,audio/baroque/BAR_034_George_Frideric_Handel_Suite_No_2_in_F_Major_HWV.wav,453.09,Baroque
George Frideric Handel,Suite No. 3 in D Minor,train,2004,midi/baroque/BAR_035_George_Frideric_Handel_Suite_No_3_in_D_Minor.midi,audio/baroque/BAR_035_George_Frideric_Handel_Suite_No_3_in_D_Minor.wav,720.09,Baroque
George Frideric Handel,Suite No. 3 in D Minor,train,2009,midi/baroque/BAR_036_George_Frideric_Handel_Suite_No_3_in_D_Minor.midi,audio/baroque/BAR_036_George_Frideric_Handel_Suite_No_3_in_D_Minor.wav,856.08,Baroque
Henry Purcell,"Suite in C Major, Z. 666 (Complete)",train,2014,midi/baroque/BAR_037_Henry_Purcell_Suite_in_C_Major_Z_666_Co.midi,audio/baroque/BAR_037_Henry_Purcell_Suite_in_C_Major_Z_666_Co.wav,538.8,Baroque
Jean-Philippe Rameau,RameauSelections,train,2006,midi/baroque/BAR_038_Jean-Philippe_Rameau_RameauSelections.midi,audio/baroque/BAR_038_Jean-Philippe_Rameau_RameauSelections.wav,334.85,Baroque
Johann Pachelbel,Chaconne in F Minor,validation,2008,midi/baroque/BAR_039_Johann_Pachelbel_Chaconne_in_F_Minor.midi,audio/baroque/BAR_039_Johann_Pachelbel_Chaconne_in_F_Minor.wav,172.97,Baroque
Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",train,2018,midi/baroque/BAR_040_Johann_Sebastian_Bach_Chromatic_Fantasy_and_Fug.midi,audio/baroque/BAR_040_Johann_Sebastian_Bach_Chromatic_Fantasy_and_Fug.wav,636.46,Baroque
Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",train,2014,midi/baroque/BAR_041_Johann_Sebastian_Bach_Chromatic_Fantasy_and_Fug.midi,audio/baroque/BAR_041_Johann_Sebastian_Bach_Chromatic_Fantasy_and_Fug.wav,738.03,Baroque
Johann Sebastian Bach,"Chromatic Fantasy and Fugue in D Minor, BWV 903",test,2015,midi/baroque/BAR_042_Johann_Sebastian_Bach_Chromatic_Fantasy_and_Fug.midi,audio/baroque/BAR_042_Johann_Sebastian_Bach_Chromatic_Fantasy_and_Fug.wav,711.3,Baroque
Johann Sebastian Bach,"Duet in E Minor, BWV 802",train,2009,midi/baroque/BAR_043_Johann_Sebastian_Bach_Duet_in_E_Minor_BWV_802.midi,audio/baroque/BAR_043_Johann_Sebastian_Bach_Duet_in_E_Minor_BWV_802.wav,131.83,Baroque
Johann Sebastian Bach,"Duet in G, BWV 804",train,2009,midi/baroque/BAR_044_Johann_Sebastian_Bach_Duet_in_G_BWV_804.midi,audio/baroque/BAR_044_Johann_Sebastian_Bach_Duet_in_G_BWV_804.wav,125.19,Baroque
Johann Sebastian Bach,"English Suite No. 2  in A Minor, BWV 807, I. Prelude",train,2015,midi/baroque/BAR_045_Johann_Sebastian_Bach_English_Suite_No_2_in_A_M.midi,audio/baroque/BAR_045_Johann_Sebastian_Bach_English_Suite_No_2_in_A_M.wav,285.8,Baroque
Johann Sebastian Bach,"English Suite in A Minor, BWV 807",test,2018,midi/baroque/BAR_046_Johann_Sebastian_Bach_English_Suite_in_A_Minor_.midi,audio/baroque/BAR_046_Johann_Sebastian_Bach_English_Suite_in_A_Minor_.wav,1324.78,Baroque
Johann Sebastian Bach,"English Suite in A Minor, BWV 807",train,2013,midi/baroque/BAR_047_Johann_Sebastian_Bach_English_Suite_in_A_Minor_.midi,audio/baroque/BAR_047_Johann_Sebastian_Bach_English_Suite_in_A_Minor_.wav,821.34,Baroque
Johann Sebastian Bach,"English Suite no. 3 in G Minor, Prelude",train,2008,midi/baroque/BAR_048_Johann_Sebastian_Bach_English_Suite_no_3_in_G_M.midi,audio/baroque/BAR_048_Johann_Sebastian_Bach_English_Suite_no_3_in_G_M.wav,168.86,Baroque
Johann Sebastian Bach,French Suite No. 5 in G Major,train,2004,midi/baroque/BAR_049_Johann_Sebastian_Bach_French_Suite_No_5_in_G_Ma.midi,audio/baroque/BAR_049_Johann_Sebastian_Bach_French_Suite_No_5_in_G_Ma.wav,968.26,Baroque
Johann Sebastian Bach,French Suite No. 5 in G Major,train,2004,midi/baroque/BAR_050_Johann_Sebastian_Bach_French_Suite_No_5_in_G_Ma.midi,audio/baroque/BAR_050_Johann_Sebastian_Bach_French_Suite_No_5_in_G_Ma.wav,792.52,Baroque
Johann Sebastian Bach,French Suite No. 5 in G Major,train,2004,midi/baroque/BAR_051_Johann_Sebastian_Bach_French_Suite_No_5_in_G_Ma.midi,audio/baroque/BAR_051_Johann_Sebastian_Bach_French_Suite_No_5_in_G_Ma.wav,130.61,Baroque
Johann Sebastian Bach,"Italian Concerto in F Major, BWV 971 (Complete)",validation,2014,midi/baroque/BAR_052_Johann_Sebastian_Bach_Italian_Concerto_in_F_Maj.midi,audio/baroque/BAR_052_Johann_Sebastian_Bach_Italian_Concerto_in_F_Maj.wav,784.86,Baroque
Johann Sebastian Bach,"Italian Concerto, BWV 971",train,2018,midi/baroque/BAR_053_Johann_Sebastian_Bach_Italian_Concerto_BWV_971.midi,audio/baroque/BAR_053_Johann_Sebastian_Bach_Italian_Concerto_BWV_971.wav,732.79,Baroque
Johann Sebastian Bach,"Italian Concerto, BWV 971 (Complete)",train,2015,midi/baroque/BAR_054_Johann_Sebastian_Bach_Italian_Concerto_BWV_971_.midi,audio/baroque/BAR_054_Johann_Sebastian_Bach_Italian_Concerto_BWV_971_.wav,771.03,Baroque
Johann Sebastian Bach,"Overture in the French Style in B Minor, BWV 831",train,2013,midi/baroque/BAR_055_Johann_Sebastian_Bach_Overture_in_the_French_St.midi,audio/baroque/BAR_055_Johann_Sebastian_Bach_Overture_in_the_French_St.wav,442.83,Baroque
Johann Sebastian Bach,"Partita No. 1 in B-Flat Major, BWV 825 (Complete)",train,2014,midi/baroque/BAR_056_Johann_Sebastian_Bach_Partita_No_1_in_B-Flat_Ma.midi,audio/baroque/BAR_056_Johann_Sebastian_Bach_Partita_No_1_in_B-Flat_Ma.wav,951.54,Baroque
Johann Sebastian Bach,"Partita No. 2 in C Minor, I. Sinfonia",train,2013,midi/baroque/BAR_057_Johann_Sebastian_Bach_Partita_No_2_in_C_Minor_I.midi,audio/baroque/BAR_057_Johann_Sebastian_Bach_Partita_No_2_in_C_Minor_I.wav,265.77,Baroque
Johann Sebastian Bach,"Partita No. 4 in D Major, BWV 828",train,2018,midi/baroque/BAR_058_Johann_Sebastian_Bach_Partita_No_4_in_D_Major_B.midi,audio/baroque/BAR_058_Johann_Sebastian_Bach_Partita_No_4_in_D_Major_B.wav,1091.69,Baroque
Johann Sebastian Bach,Partita No. 6 in E Minor,validation,2009,midi/baroque/BAR_059_Johann_Sebastian_Bach_Partita_No_6_in_E_Minor.midi,audio/baroque/BAR_059_Johann_Sebastian_Bach_Partita_No_6_in_E_Minor.wav,1286.68,Baroque
Johann Sebastian Bach,"Partita in C Minor, BWV 826",train,2014,midi/baroque/BAR_060_Johann_Sebastian_Bach_Partita_in_C_Minor_BWV_82.midi,audio/baroque/BAR_060_Johann_Sebastian_Bach_Partita_in_C_Minor_BWV_82.wav,1133.66,Baroque
Johann Sebastian Bach,Prelude & Fugue,validation,2006,midi/baroque/BAR_061_Johann_Sebastian_Bach_Prelude_Fugue.midi,audio/baroque/BAR_061_Johann_Sebastian_Bach_Prelude_Fugue.wav,452.43,Baroque
Johann Sebastian Bach,Prelude & Fugue,train,2006,midi/baroque/BAR_062_Johann_Sebastian_Bach_Prelude_Fugue.midi,audio/baroque/BAR_062_Johann_Sebastian_Bach_Prelude_Fugue.wav,290.67,Baroque
Johann Sebastian Bach,"Prelude & Fugue in B flat minor, Book I, BWV 867",train,2013,midi/baroque/BAR_063_Johann_Sebastian_Bach_Prelude_Fugue_in_B_flat_m.midi,audio/baroque/BAR_063_Johann_Sebastian_Bach_Prelude_Fugue_in_B_flat_m.wav,323.02,Baroque
Johann Sebastian Bach,"Prelude & Fugue in G Minor, WTK II",train,2004,midi/baroque/BAR_064_Johann_Sebastian_Bach_Prelude_Fugue_in_G_Minor_.midi,audio/baroque/BAR_064_Johann_Sebastian_Bach_Prelude_Fugue_in_G_Minor_.wav,311.73,Baroque
Johann Sebastian Bach,"Prelude and Fuge in G-sharp Minor, WTC I, BWV 863",train,2011,midi/baroque/BAR_065_Johann_Sebastian_Bach_Prelude_and_Fuge_in_G-sha.midi,audio/baroque/BAR_065_Johann_Sebastian_Bach_Prelude_and_Fuge_in_G-sha.wav,297.52,Baroque
Johann Sebastian Bach,"Prelude and Fugue in  F-sharp Major, WTC I , BWV 858",train,2015,midi/baroque/BAR_066_Johann_Sebastian_Bach_Prelude_and_Fugue_in_F-sh.midi,audio/baroque/BAR_066_Johann_Sebastian_Bach_Prelude_and_Fugue_in_F-sh.wav,227.34,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Major, WTC I, BWV 864",train,2015,midi/baroque/BAR_067_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Ma.midi,audio/baroque/BAR_067_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Ma.wav,211.64,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Major, WTC II, BWV 888",test,2015,midi/baroque/BAR_068_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Ma.midi,audio/baroque/BAR_068_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Ma.wav,173.61,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC I, BWV 865",train,2011,midi/baroque/BAR_069_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_069_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,316.25,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC I, BWV 865",train,2011,midi/baroque/BAR_070_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_070_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,303.24,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC I, BWV 865",train,2017,midi/baroque/BAR_071_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_071_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,309.23,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II,  BWV 889",train,2011,midi/baroque/BAR_072_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_072_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,241.38,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 847",validation,2013,midi/baroque/BAR_073_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_073_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,220.77,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889",train,2015,midi/baroque/BAR_074_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_074_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,236.19,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889",train,2011,midi/baroque/BAR_075_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_075_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,244.37,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889",train,2017,midi/baroque/BAR_076_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_076_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,241.08,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889",train,2017,midi/baroque/BAR_077_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_077_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,225.74,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A Minor, WTC II, BWV 889",train,2017,midi/baroque/BAR_078_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.midi,audio/baroque/BAR_078_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A_Mi.wav,215.64,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A-flat Major, WTC I",train,2008,midi/baroque/BAR_079_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A-fl.midi,audio/baroque/BAR_079_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A-fl.wav,230.55,Baroque
Johann Sebastian Bach,"Prelude and Fugue in A-flat Major, WTC I, BWV 862",train,2013,midi/baroque/BAR_080_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A-fl.midi,audio/baroque/BAR_080_Johann_Sebastian_Bach_Prelude_and_Fugue_in_A-fl.wav,208.19,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B Major, WTC I, BWV 868",train,2014,midi/baroque/BAR_081_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Ma.midi,audio/baroque/BAR_081_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Ma.wav,188.7,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B Major, WTC II, BWV 892",train,2011,midi/baroque/BAR_082_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Ma.midi,audio/baroque/BAR_082_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Ma.wav,347.65,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B Major, WTC II, BWV 892",train,2017,midi/baroque/BAR_083_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Ma.midi,audio/baroque/BAR_083_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Ma.wav,347.09,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B Minor, WTC II",test,2008,midi/baroque/BAR_084_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Mi.midi,audio/baroque/BAR_084_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Mi.wav,223.9,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B Minor, WTC II",test,2008,midi/baroque/BAR_085_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Mi.midi,audio/baroque/BAR_085_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Mi.wav,224.95,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B Minor, WTC II, BWV 893",train,2013,midi/baroque/BAR_086_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Mi.midi,audio/baroque/BAR_086_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B_Mi.wav,254.68,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B-Moll, No. 22 WTKII",validation,2004,midi/baroque/BAR_087_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-Mo.midi,audio/baroque/BAR_087_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-Mo.wav,420.45,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867",train,2015,midi/baroque/BAR_088_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.midi,audio/baroque/BAR_088_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.wav,313.17,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867",test,2013,midi/baroque/BAR_089_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.midi,audio/baroque/BAR_089_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.wav,316.23,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867",train,2013,midi/baroque/BAR_090_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.midi,audio/baroque/BAR_090_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.wav,352.81,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC I, BWV 867",train,2011,midi/baroque/BAR_091_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.midi,audio/baroque/BAR_091_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.wav,337.99,Baroque
Johann Sebastian Bach,"Prelude and Fugue in B-flat Minor, WTC II",train,2008,midi/baroque/BAR_092_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.midi,audio/baroque/BAR_092_Johann_Sebastian_Bach_Prelude_and_Fugue_in_B-fl.wav,360.53,Baroque
Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC  II, BWV 870",train,2015,midi/baroque/BAR_093_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_Ma.midi,audio/baroque/BAR_093_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_Ma.wav,233.18,Baroque
Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC II, BWV 846",train,2014,midi/baroque/BAR_094_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_Ma.midi,audio/baroque/BAR_094_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_Ma.wav,239.89,Baroque
Johann Sebastian Bach,"Prelude and Fugue in C Major, WTC II, BWV 870",train,2015,midi/baroque/BAR_095_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_Ma.midi,audio/baroque/BAR_095_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_Ma.wav,258.54,Baroque
Johann Sebastian Bach,"Prelude and Fugue in C Minor, WTC II, BWV 871",test,2011,midi/baroque/BAR_096_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_Mi.midi,audio/baroque/BAR_096_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_Mi.wav,238.73,Baroque
Johann Sebastian Bach,"Prelude and Fugue in C sharp major, WTC I, BWV 848",train,2011,midi/baroque/BAR_097_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_sh.midi,audio/baroque/BAR_097_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C_sh.wav,202.55,Baroque
Johann Sebastian Bach,"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848",train,2011,midi/baroque/BAR_098_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C-Sh.midi,audio/baroque/BAR_098_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C-Sh.wav,208.38,Baroque
Johann Sebastian Bach,"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848",train,2011,midi/baroque/BAR_099_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C-Sh.midi,audio/baroque/BAR_099_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C-Sh.wav,202.96,Baroque
Johann Sebastian Bach,"Prelude and Fugue in C-Sharp Minor, WTC I, BWV 849",train,2014,midi/baroque/BAR_100_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C-Sh.midi,audio/baroque/BAR_100_Johann_Sebastian_Bach_Prelude_and_Fugue_in_C-Sh.wav,328.45,Baroque
